k,Im_rho_0,Re_eps,Im_eps,delta_Re,delta_Im,Ck_Re,Ck_Im
171,4054.690712871,0.4999965249614657,4054.690709884949,-3.4750385343174095e-06,-2.9860511858714744e-06,-0.4173489537828028,-0.3586220198879462
172,4062.850288693,0.499989233264557,4062.8502932600973,-1.076673544297968e-05,4.567097221297445e-06,-1.2930750920914413,0.5485042045748819
173,4068.969297626,0.5000050722688305,4068.9693004046803,5.072268830508264e-06,2.7786804821516853e-06,0.6091748534044851,0.3337169877888827
174,4074.087681133,0.4999967266186398,4074.087675559938,-3.2733813601915074e-06,-5.5730620260874275e-06,-0.39313011136908166,-0.6693196587562809
175,4076.719781864,0.49999604929834757,4076.7197863428332,-3.950701652433164e-06,4.4788330342271365e-06,-0.47447565978569606,0.5379037563304948
176,4114.687567837,0.5000066818017916,4114.6875677674525,6.681801791641462e-06,-6.954724085517228e-08,0.8024782918481752,-0.008352560100484793
177,4126.37806388,0.5000088421438414,4126.378063939952,8.842143841447658e-06,5.995207175146788e-08,1.06193339871844,0.007200189055601775
178,4141.37377532,0.5000004269596883,4141.373762522371,4.269596882711113e-07,-1.2797629096894525e-05,0.05127746856550511,-1.536983564856617
179,4156.913907992,0.5000022039187102,4156.913901411654,2.203918710197428e-06,-6.580346052942332e-06,0.26468862397922,-0.7902935503026659
180,4168.303453626,0.5000070172361016,4168.303446417022,7.017236101636293e-06,-7.208977876871359e-06,0.8427636460843111,-0.8657916581482207
181,4204.736011073,0.5000056712074405,4204.7360142732,5.671207440549608e-06,3.200200808350928e-06,0.6811068333846672,0.3843411939380083
182,4207.354542106,0.500006536904785,4207.354534284463,6.53690478502611e-06,-7.821537110430654e-06,0.7850762937062883,-0.9393594625714842
183,4217.495524249,0.49999698050722774,4217.495527325328,-3.0194927722604348e-06,3.076328539464157e-06,-0.36263832386686345,0.36946424759279295
184,4218.230788627,0.49999752868001734,4218.230789574655,-2.4713199826553733e-06,9.476552804699168e-07,-0.2968032725502854,0.11381253357196387
185,4229.533411498,0.500001318332267,4229.5334124970295,1.3183322670196063e-06,9.990299076889642e-07,0.1583305010707797,0.11998257937407827
186,4235.502814785,0.5000073160881208,4235.502814810752,7.316088120767894e-06,2.5752342480700463e-08,0.8786555006029694,0.0030928328090865055
187,4239.083355091,0.5000063086770268,4239.083346163053,6.308677026778398e-06,-8.92794741957914e-06,0.7576663484097862,-1.0722383300768572
188,4298.66317909,0.5000123025191267,4298.663189031441,1.2302519126650147e-05,9.9414410215104e-06,1.477521309676326,1.1939579859179283
189,4341.41305096,0.5000015845985434,4341.413052977428,1.5845985433804444e-06,2.0174284145468846e-06,0.19030883764731682,0.24229130981657634
190,4344.334641491,0.5000013390215691,4344.334640230926,1.3390215690689544e-06,-1.2600739864865318e-06,0.16081526734877089,-0.1513337347933549
191,4366.527307543,0.4999974394244893,4366.527318919713,-2.5605755106794525e-06,1.1376713700883556e-05,-0.3075227799377044,1.3663329236960178
192,4441.064996265,0.4999969263490919,4441.064997874807,-3.0736509081252805e-06,1.6098065316327848e-06,-0.36914266651481054,0.1933362940108043
193,4463.647648067,0.5000027843550658,4463.647661135512,2.7843550658435134e-06,1.3068512089375872e-05,0.334398500106962,1.569516364822201
194,4465.805997569,0.5000048232762383,4465.805996724248,4.823276238297147e-06,-8.447523214272223e-07,0.5792710705161064,-0.10145398218512035
195,4471.361757252,0.4999951290612163,4471.361787283893,-4.87093878370759e-06,3.0031893402338028e-05,-0.5849952986837175,3.6068029657243508
196,4472.959272018,0.5000030075893337,4472.959271931868,3.0075893336922732e-06,-8.613187674200162e-08,0.3612087317677313,-0.010344359721664111
197,4486.327219163,0.500008187751421,4486.327224769456,8.187751420973832e-06,5.606455488305073e-06,0.98334146675824,0.6733301830661811
198,4500.164602396,0.500008516254761,4500.164593017691,8.516254760948527e-06,-9.378309187013656e-06,1.022794417825882,-1.1263263669738317
199,4530.025233174,0.5000007518183367,4530.025234511194,7.518183366972409e-07,1.3371936802286655e-06,0.09029269550731855,0.1605957395686924
200,4549.281071828,0.5000073368098699,4549.281073895695,7.336809869862293e-06,2.0676952772191726e-06,0.8811441637414332,0.2483283141084853
